product_id,name,gender,category,occasions,seasons,places,styles,fabric,colors,suitable_body_types,suitable_skin_tones,origin,weaver_name,rating,price,semantic_text
D101,Outfit 1,Male,Jacket,"party,festival",autumn,college,"casual,streetwear",cotton,"pink,yellow",all,light,Kolkata,Lakshmi Weaves,4.3,3429,"casual,streetwear jacket made of cotton suitable for party,festival during autumn season from Kolkata."
D102,Outfit 2,Female,Gown,"vacation,travel",autumn,indoor,"minimal,elegant",khadi,"black,blue",pear,light,Pochampally,GramVastra,4.7,3201,"minimal,elegant gown made of khadi suitable for vacation,travel during autumn season from Pochampally."
D103,Outfit 3,Female,Lehenga,"office,festival",autumn,outdoor,"streetwear,casual",linen,"red,white",hourglass,medium,Varanasi,Urban Looms,4.1,5417,"streetwear,casual lehenga made of linen suitable for office,festival during autumn season from Varanasi."
D104,Outfit 4,Female,Top,"casual,festival",autumn,indoor,"festive,minimal",silk,"black,blue",hourglass,light,Pochampally,Royal Threads,4.6,3579,"festive,minimal top made of silk suitable for casual,festival during autumn season from Pochampally."
D105,Outfit 5,Male,Shirt,"party,college",all,indoor,"streetwear,festive",wool,"white,red",all,all,Lucknow,Urban Looms,4.7,4577,"streetwear,festive shirt made of wool suitable for party,college during all season from Lucknow."
D106,Outfit 6,Female,Saree,"college,temple",winter,college,"elegant,streetwear",georgette,"red,green",all,deep,Lucknow,Royal Threads,4.1,2809,"elegant,streetwear saree made of georgette suitable for college,temple during winter season from Lucknow."
D107,Outfit 7,Female,Top,"college,wedding",winter,outdoor,"streetwear,modern",denim,"yellow,blue",inverted,light,Delhi,Lakshmi Weaves,4.3,5807,"streetwear,modern top made of denim suitable for college,wedding during winter season from Delhi."
D108,Outfit 8,Female,Gown,"party,office",spring,indoor,"elegant,minimal",chiffon,"yellow,gold",inverted,medium,Varanasi,Lakshmi Weaves,4.4,1562,"elegant,minimal gown made of chiffon suitable for party,office during spring season from Varanasi."
D109,Outfit 9,Female,Dress,"party,travel",summer,office,"casual,modern",georgette,"gold,yellow",rectangle,medium,Varanasi,Royal Threads,4.8,2093,"casual,modern dress made of georgette suitable for party,travel during summer season from Varanasi."
D110,Outfit 10,Female,Saree,"temple,travel",all,college,"streetwear,festive",linen,"red,black",all,light,Jaipur,GramVastra,4.2,3591,"streetwear,festive saree made of linen suitable for temple,travel during all season from Jaipur."
D111,Outfit 11,Female,Gown,"temple,office",summer,indoor,"minimal,casual",khadi,"green,gold",all,all,Pochampally,Urban Looms,4.2,5638,"minimal,casual gown made of khadi suitable for temple,office during summer season from Pochampally."
D112,Outfit 12,Female,Gown,"office,party",winter,temple,"minimal,elegant",denim,"gold,black",all,medium,Lucknow,Nazakat Couture,4.5,4640,"minimal,elegant gown made of denim suitable for office,party during winter season from Lucknow."
D113,Outfit 13,Female,Gown,"party,travel",winter,beach,"streetwear,traditional",denim,"black,green",all,deep,Kolkata,Urban Looms,4.0,2983,"streetwear,traditional gown made of denim suitable for party,travel during winter season from Kolkata."
D114,Outfit 14,Male,Shirt,"casual,festival",spring,beach,"streetwear,minimal",linen,"blue,yellow",inverted,light,Mumbai,Urban Looms,4.4,4219,"streetwear,minimal shirt made of linen suitable for casual,festival during spring season from Mumbai."
D115,Outfit 15,Female,Saree,"party,festival",all,indoor,"modern,festive",wool,"gold,green",all,medium,Pochampally,Lakshmi Weaves,4.2,3148,"modern,festive saree made of wool suitable for party,festival during all season from Pochampally."
D116,Outfit 16,Female,Gown,"college,travel",autumn,outdoor,"minimal,elegant",cotton,"gold,red",hourglass,all,Jaipur,Royal Threads,4.3,5998,"minimal,elegant gown made of cotton suitable for college,travel during autumn season from Jaipur."
D117,Outfit 17,Female,Lehenga,"college,wedding",autumn,indoor,"traditional,streetwear",silk,"yellow,white",pear,light,Pochampally,Lakshmi Weaves,4.2,5088,"traditional,streetwear lehenga made of silk suitable for college,wedding during autumn season from Pochampally."
D118,Outfit 18,Female,Saree,"college,travel",autumn,indoor,"modern,minimal",denim,"white,black",hourglass,medium,Varanasi,Royal Threads,4.6,2000,"modern,minimal saree made of denim suitable for college,travel during autumn season from Varanasi."
D119,Outfit 19,Unisex,Kurta,"festival,wedding",winter,beach,"minimal,festive",khadi,"pink,yellow",inverted,deep,Varanasi,Lakshmi Weaves,4.0,2277,"minimal,festive kurta made of khadi suitable for festival,wedding during winter season from Varanasi."
D120,Outfit 20,Female,Dress,"office,casual",all,college,"festive,casual",linen,"white,red",rectangle,medium,Lucknow,Urban Looms,4.3,3043,"festive,casual dress made of linen suitable for office,casual during all season from Lucknow."
D121,Outfit 21,Male,Shirt,"casual,party",winter,office,"modern,casual",wool,"gold,black",hourglass,all,Bangalore,GramVastra,4.5,5991,"modern,casual shirt made of wool suitable for casual,party during winter season from Bangalore."
D122,Outfit 22,Female,Saree,"college,travel",spring,office,"minimal,modern",chiffon,"blue,black",rectangle,medium,Varanasi,Lakshmi Weaves,4.1,3756,"minimal,modern saree made of chiffon suitable for college,travel during spring season from Varanasi."
D123,Outfit 23,Female,Dress,"wedding,festival",all,beach,"festive,elegant",cotton,"green,red",inverted,deep,Mumbai,Nazakat Couture,4.5,5957,"festive,elegant dress made of cotton suitable for wedding,festival during all season from Mumbai."
D124,Outfit 24,Female,Saree,"casual,travel",all,indoor,"minimal,festive",silk,"blue,gold",rectangle,all,Lucknow,Lakshmi Weaves,4.4,3617,"minimal,festive saree made of silk suitable for casual,travel during all season from Lucknow."
D125,Outfit 25,Male,Hoodie,"wedding,travel",winter,beach,"casual,modern",linen,"red,blue",hourglass,medium,Bangalore,Urban Looms,4.5,2817,"casual,modern hoodie made of linen suitable for wedding,travel during winter season from Bangalore."
D126,Outfit 26,Female,Gown,"casual,travel",summer,indoor,"streetwear,modern",chiffon,"gold,red",pear,light,Delhi,Urban Looms,4.4,2190,"streetwear,modern gown made of chiffon suitable for casual,travel during summer season from Delhi."
D127,Outfit 27,Male,Shirt,"wedding,vacation",all,outdoor,"modern,traditional",silk,"white,red",pear,all,Jaipur,Nazakat Couture,4.7,5488,"modern,traditional shirt made of silk suitable for wedding,vacation during all season from Jaipur."
D128,Outfit 28,Female,Lehenga,"wedding,casual",autumn,indoor,"casual,modern",linen,"black,pink",hourglass,medium,Jaipur,Urban Looms,4.7,3189,"casual,modern lehenga made of linen suitable for wedding,casual during autumn season from Jaipur."
D129,Outfit 29,Female,Top,"casual,temple",winter,college,"modern,minimal",georgette,"blue,red",inverted,light,Jaipur,Nazakat Couture,4.3,3218,"modern,minimal top made of georgette suitable for casual,temple during winter season from Jaipur."
D130,Outfit 30,Male,Jacket,"festival,travel",autumn,office,"elegant,minimal",georgette,"black,red",inverted,medium,Jaipur,Urban Looms,4.3,1142,"elegant,minimal jacket made of georgette suitable for festival,travel during autumn season from Jaipur."
D131,Outfit 31,Female,Saree,"casual,office",all,temple,"minimal,traditional",wool,"blue,yellow",inverted,medium,Jaipur,Nazakat Couture,4.7,3417,"minimal,traditional saree made of wool suitable for casual,office during all season from Jaipur."
D132,Outfit 32,Female,Gown,"vacation,party",winter,temple,"minimal,modern",denim,"white,blue",all,deep,Bangalore,Nazakat Couture,4.5,2355,"minimal,modern gown made of denim suitable for vacation,party during winter season from Bangalore."
D133,Outfit 33,Male,Hoodie,"wedding,vacation",all,outdoor,"minimal,casual",georgette,"blue,yellow",rectangle,deep,Lucknow,Royal Threads,4.3,5008,"minimal,casual hoodie made of georgette suitable for wedding,vacation during all season from Lucknow."
D134,Outfit 34,Female,Lehenga,"wedding,party",spring,outdoor,"festive,minimal",silk,"red,gold",all,medium,Lucknow,Urban Looms,4.8,3917,"festive,minimal lehenga made of silk suitable for wedding,party during spring season from Lucknow."
D135,Outfit 35,Male,Jacket,"party,travel",autumn,temple,"casual,modern",khadi,"red,yellow",all,medium,Pochampally,Royal Threads,4.7,5723,"casual,modern jacket made of khadi suitable for party,travel during autumn season from Pochampally."
D136,Outfit 36,Female,Lehenga,"college,temple",all,temple,"streetwear,elegant",linen,"white,gold",rectangle,all,Lucknow,Urban Looms,4.6,3340,"streetwear,elegant lehenga made of linen suitable for college,temple during all season from Lucknow."
D137,Outfit 37,Female,Gown,"college,party",winter,temple,"streetwear,casual",cotton,"black,yellow",pear,all,Kolkata,Urban Looms,4.6,826,"streetwear,casual gown made of cotton suitable for college,party during winter season from Kolkata."
D138,Outfit 38,Male,Shirt,"vacation,office",spring,beach,"elegant,minimal",chiffon,"red,black",pear,medium,Jaipur,Nazakat Couture,4.7,4891,"elegant,minimal shirt made of chiffon suitable for vacation,office during spring season from Jaipur."
D139,Outfit 39,Unisex,Kurta,"casual,wedding",all,outdoor,"streetwear,casual",georgette,"red,black",all,medium,Delhi,Royal Threads,4.2,900,"streetwear,casual kurta made of georgette suitable for casual,wedding during all season from Delhi."
D140,Outfit 40,Male,Hoodie,"wedding,casual",autumn,beach,"minimal,traditional",linen,"pink,white",hourglass,medium,Jaipur,Lakshmi Weaves,4.8,5967,"minimal,traditional hoodie made of linen suitable for wedding,casual during autumn season from Jaipur."
D141,Outfit 41,Female,Gown,"wedding,festival",winter,college,"traditional,festive",cotton,"green,red",hourglass,all,Bangalore,Urban Looms,4.6,4401,"traditional,festive gown made of cotton suitable for wedding,festival during winter season from Bangalore."
D142,Outfit 42,Male,Hoodie,"college,travel",spring,temple,"minimal,elegant",wool,"blue,white",rectangle,medium,Varanasi,Lakshmi Weaves,4.9,985,"minimal,elegant hoodie made of wool suitable for college,travel during spring season from Varanasi."
D143,Outfit 43,Female,Saree,"travel,wedding",winter,indoor,"streetwear,elegant",khadi,"yellow,blue",all,all,Varanasi,Royal Threads,4.5,4429,"streetwear,elegant saree made of khadi suitable for travel,wedding during winter season from Varanasi."
D144,Outfit 44,Male,Shirt,"casual,college",autumn,temple,"modern,festive",georgette,"gold,pink",hourglass,deep,Kolkata,Royal Threads,4.1,4783,"modern,festive shirt made of georgette suitable for casual,college during autumn season from Kolkata."
D145,Outfit 45,Unisex,Kurta,"vacation,casual",spring,temple,"festive,minimal",khadi,"yellow,black",rectangle,light,Lucknow,Lakshmi Weaves,4.5,3512,"festive,minimal kurta made of khadi suitable for vacation,casual during spring season from Lucknow."
D146,Outfit 46,Male,Jacket,"college,wedding",autumn,outdoor,"casual,minimal",silk,"yellow,pink",pear,all,Kolkata,GramVastra,4.9,1428,"casual,minimal jacket made of silk suitable for college,wedding during autumn season from Kolkata."
D147,Outfit 47,Unisex,Kurta,"festival,vacation",autumn,beach,"festive,casual",georgette,"pink,green",rectangle,all,Mumbai,GramVastra,4.8,4736,"festive,casual kurta made of georgette suitable for festival,vacation during autumn season from Mumbai."
D148,Outfit 48,Female,Saree,"casual,wedding",autumn,temple,"modern,minimal",wool,"pink,green",all,medium,Mumbai,Royal Threads,4.5,5093,"modern,minimal saree made of wool suitable for casual,wedding during autumn season from Mumbai."
D149,Outfit 49,Unisex,Kurta,"casual,college",summer,beach,"casual,streetwear",wool,"black,blue",all,medium,Delhi,Lakshmi Weaves,4.6,3126,"casual,streetwear kurta made of wool suitable for casual,college during summer season from Delhi."
D150,Outfit 50,Male,Jacket,"festival,travel",autumn,outdoor,"casual,modern",cotton,"red,pink",all,all,Pochampally,Urban Looms,4.3,1094,"casual,modern jacket made of cotton suitable for festival,travel during autumn season from Pochampally."
D151,Outfit 51,Male,Hoodie,"office,party",spring,temple,"streetwear,elegant",khadi,"black,yellow",rectangle,all,Bangalore,Nazakat Couture,4.7,1856,"streetwear,elegant hoodie made of khadi suitable for office,party during spring season from Bangalore."
D152,Outfit 52,Female,Saree,"wedding,college",all,office,"casual,streetwear",khadi,"white,pink",inverted,deep,Delhi,Nazakat Couture,4.8,1103,"casual,streetwear saree made of khadi suitable for wedding,college during all season from Delhi."
D153,Outfit 53,Female,Gown,"travel,office",autumn,temple,"modern,casual",cotton,"black,red",pear,light,Mumbai,Urban Looms,4.5,4224,"modern,casual gown made of cotton suitable for travel,office during autumn season from Mumbai."
D154,Outfit 54,Male,Jacket,"temple,festival",autumn,outdoor,"modern,casual",wool,"white,green",rectangle,deep,Mumbai,Urban Looms,4.8,4717,"modern,casual jacket made of wool suitable for temple,festival during autumn season from Mumbai."
D155,Outfit 55,Female,Saree,"vacation,festival",summer,office,"casual,minimal",georgette,"blue,pink",rectangle,medium,Pochampally,Nazakat Couture,4.4,2824,"casual,minimal saree made of georgette suitable for vacation,festival during summer season from Pochampally."
D156,Outfit 56,Male,Shirt,"casual,festival",all,office,"traditional,minimal",linen,"yellow,red",pear,medium,Kolkata,Lakshmi Weaves,4.4,5527,"traditional,minimal shirt made of linen suitable for casual,festival during all season from Kolkata."
D157,Outfit 57,Male,Jacket,"college,vacation",all,indoor,"streetwear,festive",linen,"gold,black",inverted,medium,Lucknow,Urban Looms,4.1,2292,"streetwear,festive jacket made of linen suitable for college,vacation during all season from Lucknow."
D158,Outfit 58,Female,Top,"office,wedding",autumn,beach,"minimal,streetwear",silk,"yellow,green",hourglass,all,Jaipur,Nazakat Couture,4.5,4083,"minimal,streetwear top made of silk suitable for office,wedding during autumn season from Jaipur."
D159,Outfit 59,Female,Top,"vacation,festival",summer,temple,"elegant,casual",chiffon,"red,white",inverted,medium,Bangalore,GramVastra,4.0,2985,"elegant,casual top made of chiffon suitable for vacation,festival during summer season from Bangalore."
D160,Outfit 60,Female,Saree,"wedding,festival",all,indoor,"modern,festive",cotton,"blue,white",hourglass,light,Jaipur,Nazakat Couture,4.4,4428,"modern,festive saree made of cotton suitable for wedding,festival during all season from Jaipur."
